国家-英,国家-汉,,国民-英,国民-汉,,语言-英,语言-汉
America,美国,,American,美国人,,,
United States,美国,,,,,,
Australia,澳大利亚,,Australian,澳大利亚人,,Australian,澳大利亚
Arab,阿拉伯,,Arab,阿拉伯人,,Arabic,阿拉伯语
Brazil,巴西,,Brazilian,巴西人,,,
Britain,英国,,,,,,
United Kingdom,英国,,,,,,
England,英国,,English,英国人,,English,英语
Canada,加拿大,,Canadian,加拿大人,,,
China,中国,,Chinese,中国人,,Chinese,汉语
,,,,,,Traditional Chinese,繁体中文
,,,,,,Simplified Chinese,简体中文
Denmark,丹麦,,Danish,丹麦人,,Danish,丹麦语
Egypt,埃及,,Egyptian,埃及人,,Egyptian,埃及语
France,法国,,French,法国人,,French,法语
Finland,芬兰,,Finn,芬兰人,,Finnish,芬兰语
Germany,德国,,German,德国人,,German,德语
Greece,希腊,,Greek,希腊人,,Greek,希腊语
India,印度,,Indian,印度人,,Hindi,印地语
,,,native American,印第安人,,,
Ireland,爱尔兰,,Irishman,爱尔兰人,,Irish,爱尔兰语
Israel,以色列,,Israeli,以色列人,,Hebrew,希伯来语
Iceland,冰岛,,Icelander,冰岛人,,Icelandic,冰岛语
Italy,意大利,,Italian,意大利人,,Italilian,意大利语
Iran,伊朗,,Iranian,伊朗人,,,
Japan,日本,,,,,Japanese,日语
Korea,韩国,,Korean,韩国人,,Korean,韩语
Netherlands,荷兰,,Dutch,荷兰人,,Dutch,荷兰语
New Zealand,新西兰,,,,,New Zealander,新西兰语
Portugal,葡萄牙,,Portuguese,葡萄牙人,,Portuguese,葡萄牙语
Poland,波兰,,Pole,波兰人,,Polish,波兰语
Philppines,菲律宾,,Filipino,菲律宾人,,,
Russia,俄罗斯,,Russian,俄罗斯人,,Russian,俄语
Scotland,苏格兰,,Scottish,苏格兰人,,Scots,苏格兰语
Singapore,新加坡,,,,,,
Spain,西班牙,,Spanish,西班牙人,,Spanish,西班牙语
Sweden,瑞典,,Swede,瑞典人,,Swedish,瑞典语
Wales,威尔士,,,,,Welsh,威尔士语
Swiss,瑞士,,Swiss,瑞士人,,,
Thailand,泰国,,Thai,泰国人,,Thai,泰语
